,79.78,9052,-192,11372
247461,5.59,8000,-280,12020
247473,5.59,8080,-140,11976
247485,5.18,8164,-196,12048
247497,5.18,7948,-284,11732
247509,5.18,8324,-288,11696
247521,5.18,8164,-208,11872
247533,5.59,8056,-208,11948
247545,5.18,7992,-336,12032
247557,5.59,8156,-188,11904
247569,5.59,8112,-272,11676
247581,5.59,8084,-260,11764
247593,5.18,8100,-268,12000
247605,5.59,8112,-144,12068
247617,5.59,7940,-244,11900
247629,5.18,8128,-248,11764
247641,5.59,8212,-216,11852
247653,5.59,8064,-216,11956
247665,5.18,8032,-296,12028
247677,5.18,8172,-164,12056
247689,5.59,8128,-240,11928
247701,5.59,8004,-304,11856
247713,5.59,8100,-316,11720
247725,5.59,8112,-216,11956
247737,5.18,8012,-192,11948
247749,5.18,8076,-288,12040
247761,5.59,8276,-372,11812
247773,5.59,8188,-244,11788
247785,5.18,7968,-276,11852
247797,5.18,7960,-268,11984
247809,5.18,8136,-176,12012
247821,5.18,8032,-248,11960
247833,5.18,8048,-208,11816
247845,5.18,8248,-220,11804
247857,5.59,8180,-352,12028
247869,5.18,7996,-256,11880
247881,5.18,8072,-248,11912
247893,5.59,8200,-224,11968
247905,5.18,8184,-236,11792
247917,5.59,7992,-260,11684
247929,5.59,8084,-224,11904
247941,5.18,8144,-200,12000
247953,5.18,7876,-260,11920
247965,5.18,8208,-276,11792
247977,5.59,8248,-116,11876
247989,5.18,8044,-216,11996
248001,5.18,7876,-288,12008
248013,5.18,8092,-268,11864
248025,5.59,8108,-200,11824
248037,5.59,7916,-224,11712
248049,5.18,8060,-304,11764
248061,5.59,8124,-208,11940
248073,5.59,8068,-240,12080
248085,5.18,7988,-200,11936
248097,5.59,8144,-216,11800
248109,5.18,8184,-224,11808
248121,5.18,8008,-200,11976
248133,5.18,8100,-268,11964
248145,5.18,8116,-172,12016
248157,5.18,8128,-272,11812
248169,5.59,7968,-296,11940
248181,5.18,8128,-220,11740
248193,5.18,8176,-216,11948
248205,5.18,7892,-236,12032
248217,5.18,8008,-276,12080
248229,5.59,8200,-236,11876
248241,5.59,8056,-216,11844
